transaction_date,balance
2018-05-03,-2486.3
2018-05-04,1722.12
2018-05-05,1722.12
2018-05-06,1722.12
2018-05-07,1982.5299999999997
2018-05-08,1887.5299999999997
2018-05-09,-417.47000000000025
2018-05-10,-417.47000000000025
2018-05-11,-375.6300000000002
2018-05-12,-375.6300000000002
2018-05-13,-375.6300000000002
2018-05-14,-400.6300000000002
2018-05-15,-5222.75
2018-05-16,-4929.75
2018-05-17,-4797.19
2018-05-18,-7652.83
2018-05-19,-7652.83
2018-05-20,-7652.83
2018-05-21,-7652.83
2018-05-22,-7354.32
2018-05-23,-8439.369999999999
2018-05-24,-8439.369999999999
2018-05-25,-8310.39
2018-05-26,-8310.39
2018-05-27,-8310.39
2018-05-28,-8278.74
2018-05-29,-8278.74
2018-05-30,-8273.74
2018-05-31,-16736.55
2018-06-01,-14739.84
2018-06-02,-14739.84
2018-06-03,-14739.84
2018-06-04,-12203.68
2018-06-05,-12387.52
2018-06-06,-12333.35
2018-06-07,-8761.59
2018-06-08,-8746.12
2018-06-09,-8746.12
2018-06-10,-8746.12
2018-06-11,-8022.570000000001
2018-06-12,-8022.570000000001
2018-06-13,-8022.570000000001
2018-06-14,-10722.57
2018-06-15,-15582.29
2018-06-16,-15582.29
2018-06-17,-15582.29
2018-06-18,-16522.38
2018-06-19,-17052.84
2018-06-20,-13112.470000000001
2018-06-21,-13022.6
2018-06-22,-12948.94
2018-06-23,-12948.94
2018-06-24,-12948.94
2018-06-25,-15168.630000000001
2018-06-26,-14998.630000000001
2018-06-27,-14976.210000000001
2018-06-28,-13068.890000000001
2018-06-29,-20081.84
2018-06-30,-20081.84
2018-07-01,-20081.84
2018-07-02,-20081.84
2018-07-03,-17011.04
2018-07-04,-12924.69
2018-07-05,-12845.380000000001
2018-07-06,-12831.380000000001
2018-07-07,-12831.380000000001
2018-07-08,-12831.380000000001
2018-07-09,-7506.330000000001
2018-07-10,-9428.640000000001
2018-07-11,-9349.54
2018-07-12,-10180.04
2018-07-13,-15232.1
2018-07-14,-15232.1
2018-07-15,-15232.1
2018-07-16,-18007.98
2018-07-17,-18022.03
2018-07-18,-17978.19
2018-07-19,-17828.969999999998
2018-07-20,-17848.969999999998
2018-07-21,-17848.969999999998
2018-07-22,-17848.969999999998
2018-07-23,-17834.019999999997
2018-07-24,-17092.529999999995
2018-07-25,-17092.529999999995
2018-07-26,-19282.529999999995
2018-07-27,-19252.439999999995
2018-07-28,-19252.439999999995
2018-07-29,-19252.439999999995
2018-07-30,-18543.989999999994
2018-07-31,-23749.079999999994
2018-08-01,-23652.429999999993
2018-08-02,-23167.43999999999
2018-08-03,-24119.569999999992
2018-08-04,-24119.569999999992
2018-08-05,-24119.569999999992
2018-08-06,-21786.549999999992
2018-08-07,-18950.519999999993
2018-08-08,-18950.519999999993
2018-08-09,-19156.519999999993
2018-08-10,-18950.659999999993
2018-08-11,-18950.659999999993
2018-08-12,-18950.659999999993
2018-08-13,-17608.379999999994
2018-08-14,-17608.379999999994
2018-08-15,-22790.309999999994
2018-08-16,-22586.309999999994
2018-08-17,-21963.239999999994
2018-08-18,-21963.239999999994
2018-08-19,-21963.239999999994
2018-08-20,-21987.029999999995
2018-08-21,-21977.519999999997
2018-08-22,-21977.109999999997
2018-08-23,-21962.159999999996
2018-08-24,-21960.559999999998
2018-08-25,-21960.559999999998
2018-08-26,-21960.559999999998
2018-08-27,-19626.559999999998
2018-08-28,-20535.55
2018-08-29,-20695.55
2018-08-30,-23145.55
2018-08-31,-28330.64
2018-09-01,-28330.64
2018-09-02,-28330.64
2018-09-03,-28330.64
2018-09-04,-20798.309999999998
2018-09-05,-20774.309999999998
2018-09-06,-21931.309999999998
2018-09-07,-21789.309999999998
2018-09-08,-21789.309999999998
2018-09-09,-21789.309999999998
2018-09-10,-21469.309999999998
2018-09-11,-21454.309999999998
2018-09-12,-21454.309999999998
2018-09-13,-21454.309999999998
2018-09-14,-26239.64
2018-09-15,-26239.64
2018-09-16,-26239.64
2018-09-17,-26942.79
2018-09-18,-26605.95
2018-09-19,-26576.530000000002
2018-09-20,-26552.06
2018-09-21,-26521.16
2018-09-22,-26521.16
2018-09-23,-26521.16
2018-09-24,-26456.95
2018-09-25,-26603.58
2018-09-26,-25693.690000000002
2018-09-27,-28073.690000000002
2018-09-28,-33198.53
2018-09-29,-33198.53
2018-09-30,-33198.53
2018-10-01,-31362.31
2018-10-02,-27503.32
2018-10-03,-27025.34
2018-10-04,-24288.989999999998
2018-10-05,-25455.8
2018-10-06,-25449.469999999998
2018-10-07,-25449.469999999998
2018-10-08,-24949.469999999998
2018-10-09,-22671.219999999998
2018-10-10,-20229.219999999998
2018-10-11,-20229.219999999998
2018-10-12,-19676.339999999997
2018-10-13,-19676.339999999997
2018-10-14,-19676.339999999997
2018-10-15,-26695.46
2018-10-16,-27603.44
2018-10-17,-27443.329999999998
2018-10-18,-27451.769999999997
2018-10-19,-27256.67
2018-10-20,-27224.01
2018-10-21,-28067.01
2018-10-22,-13057.009999999998
2018-10-23,-12981.259999999998
2018-10-24,-12981.259999999998
2018-10-25,-13333.899999999998
2018-10-26,-13127.949999999997
2018-10-27,-13127.949999999997
2018-10-28,-13127.949999999997
2018-10-29,-12992.719999999998
2018-10-30,-12097.669999999998
2018-10-31,-16647.409999999996
2018-11-01,15769.710000000003
2018-11-02,19170.83
2018-11-03,19170.83
2018-11-04,19170.83
2018-11-05,20483.74
2018-11-06,20893.300000000003
2018-11-07,28090.840000000004
2018-11-08,29559.380000000005
2018-11-09,29569.930000000004
2018-11-10,29569.930000000004
2018-11-11,29569.930000000004
2018-11-12,29569.930000000004
2018-11-13,30220.260000000006
2018-11-14,29019.670000000006
2018-11-15,23933.700000000004
2018-11-16,23968.290000000005
2018-11-17,23921.870000000006
2018-11-18,24905.270000000008
2018-11-19,24296.06000000001
2018-11-20,19541.320000000007
2018-11-21,101419.1
2018-11-22,101783.90000000001
2018-11-23,102132.35
2018-11-24,102132.35
2018-11-25,102132.35
2018-11-26,101862.44
2018-11-27,101862.44
2018-11-28,101887.44
2018-11-29,101887.44
2018-11-30,96944.55
2018-12-01,133886.55
2018-12-02,139886.55
2018-12-03,139495.9
2018-12-04,140244.02
2018-12-05,140382.83
2018-12-06,147939.50999999998
2018-12-07,160337.80999999997
2018-12-08,160337.80999999997
2018-12-09,160337.80999999997
2018-12-10,160325.59999999998
2018-12-11,161007.66999999998
2018-12-12,160957.66999999998
2018-12-13,161143.15
2018-12-14,157346.56
2018-12-15,157346.56
2018-12-16,157346.56
2018-12-17,154895.0
2018-12-18,156355.67
2018-12-19,156577.90000000002
2018-12-20,150071.17
2018-12-21,239296.59000000003
2018-12-22,239691.79000000004
2018-12-23,239691.79000000004
2018-12-24,239419.76000000004
2018-12-25,239419.76000000004
2018-12-26,239419.76000000004
2018-12-27,242637.73000000004
2018-12-28,244770.74000000005
2018-12-29,244770.74000000005
2018-12-30,244770.74000000005
2018-12-31,278633.51000000007
2019-01-01,285133.51000000007
2019-01-02,288538.05000000005
2019-01-03,286054.30000000005
2019-01-04,289282.26000000007
2019-01-05,289282.26000000007
2019-01-06,295782.26000000007
2019-01-07,299645.4000000001
2019-01-08,299669.7800000001
2019-01-09,299683.5500000001
2019-01-10,299683.5500000001
2019-01-11,299726.6000000001
2019-01-12,299726.6000000001
2019-01-13,299726.6000000001
2019-01-14,299820.4100000001
2019-01-15,287860.0500000001
2019-01-16,291611.9500000001
2019-01-17,294763.03000000014
2019-01-18,295098.18000000017
2019-01-19,290618.68000000017
2019-01-20,379668.68000000017
2019-01-21,377471.68000000017
2019-01-22,376641.92000000016
2019-01-23,376688.37000000017
2019-01-24,376738.37000000017
2019-01-25,376534.34000000014
2019-01-26,376534.34000000014
2019-01-27,376534.34000000014
2019-01-28,376942.8100000001
2019-01-29,376999.1800000001
2019-01-30,417046.9100000001
2019-01-31,418466.4600000001
2019-02-01,420297.3500000001
2019-02-02,420297.3500000001
2019-02-03,420379.6400000001
2019-02-04,423474.5800000001
2019-02-05,431240.37000000005
2019-02-06,431284.56000000006
2019-02-07,434267.74000000005
2019-02-08,434433.31000000006
2019-02-09,434433.31000000006
2019-02-10,434433.31000000006
2019-02-11,432139.57000000007
2019-02-12,433086.1500000001
2019-02-13,433107.1500000001
2019-02-14,433107.1500000001
2019-02-15,428335.26000000007
2019-02-16,429676.26000000007
2019-02-17,429933.2100000001
2019-02-18,423702.8000000001
2019-02-19,531963.4000000001
2019-02-20,532586.6500000001
2019-02-21,532595.9400000002
2019-02-22,532702.2000000002
2019-02-23,532702.2000000002
2019-02-24,532702.2000000002
2019-02-25,532319.1600000001
2019-02-26,532238.0200000001
2019-02-27,532886.4300000002
2019-02-28,527893.6700000002
2019-03-01,576507.8200000002
2019-03-02,583507.8200000002
2019-03-03,583507.8200000002
2019-03-04,585658.2600000001
2019-03-05,585694.5400000002
2019-03-06,585705.5600000002
2019-03-07,595265.1500000001
2019-03-08,595310.4000000001
2019-03-09,595310.4000000001
2019-03-10,595310.4000000001
2019-03-11,593048.1600000001
2019-03-12,591851.1900000002
2019-03-13,591965.8800000001
2019-03-14,591965.8800000001
2019-03-15,587060.8700000001
2019-03-16,587060.8700000001
2019-03-17,586993.3500000001
2019-03-18,587750.1200000001
2019-03-19,589345.8200000001
2019-03-20,582957.2100000001
2019-03-21,692388.3
2019-03-22,692884.25
2019-03-23,692884.25
2019-03-24,692884.25
2019-03-25,692563.54
2019-03-26,692634.39
2019-03-27,679943.09
2019-03-28,680073.25
2019-03-29,675070.8
2019-03-30,675070.8
2019-03-31,724326.8
2019-04-01,734342.27
2019-04-02,734443.0700000001
2019-04-03,733781.54
2019-04-04,737965.17
2019-04-05,737325.4800000001
2019-04-06,744825.4800000001
2019-04-07,744825.4800000001
2019-04-08,745694.68
2019-04-09,746219.3500000001
2019-04-10,747785.1900000001
2019-04-11,747797.2100000001
2019-04-12,747797.2100000001
2019-04-13,747797.2100000001
2019-04-14,747797.2100000001
2019-04-15,741549.4700000001
2019-04-16,742384.5200000001
2019-04-17,744053.1500000001
2019-04-18,745259.3400000001
2019-04-19,738936.8400000001
2019-04-20,848536.8400000001
2019-04-21,849023.2400000001
2019-04-22,849329.1900000001
2019-04-23,849360.4900000001
2019-04-24,849442.8200000001
2019-04-25,849024.3300000001
2019-04-26,849080.91
2019-04-27,849080.91
2019-04-28,849080.91
2019-04-29,852333.42
2019-04-30,898753.14
2019-05-01,908291.92
2019-05-02,909953.25
2019-05-03,909078.09
2019-05-04,909179.37
2019-05-05,909179.37
2019-05-06,921761.64
2019-05-07,923514.06
2019-05-08,924553.79
2019-05-09,924524.3400000001
